img_id,IP_x,PIP2_x,PIP3_x,PIP4_x,PIP5_x,MP_x,MCP2_x,MCP3_x,MCP4_x,MCP5_x,W1_x,W2_x,W3_x,W4_x,W5_x,IP_y,PIP2_y,PIP3_y,PIP4_y,PIP5_y,MP_y,MCP2_y,MCP3_y,MCP4_y,MCP5_y,W1_y,W2_y,W3_y,W4_y,W5_y
test_img1_L.png,531.5625,427.5,320.625,230.625,151.875,480.9375,413.4375,337.5,272.8125,219.375,405,295.3125,270,312.1875,362.8125,381.875,235.625,211.25,239.6875,325,471.25,361.5625,353.4375,381.875,414.375,593.125,580.9375,694.6875,686.5625,666.25
test_img2_L.png,525.9375,407.8125,303.75,210.9375,126.5625,495,385.3125,295.3125,230.625,168.75,416.25,281.25,270,323.4375,374.0625,353.4375,207.1875,215.3125,264.0625,349.375,455,345.3125,365.625,402.1875,450.9375,601.25,605.3125,723.125,706.875,686.5625
test_img3_L.png,514.6875,371.25,275.625,171.5625,87.1875,455.625,337.5,255.9375,177.1875,109.6875,329.0625,202.5,191.25,236.25,281.25,414.375,219.375,186.875,223.4375,292.5,495.625,345.3125,333.125,365.625,398.125,589.0625,548.4375,686.5625,670.3125,645.9375
test_img4_L.png,534.375,427.5,323.4375,239.0625,171.5625,486.5625,388.125,326.25,275.625,222.1875,399.375,298.125,284.0625,323.4375,362.8125,381.875,227.5,211.25,251.875,316.875,450.9375,329.0625,333.125,357.5,390,532.1875,507.8125,609.375,601.25,580.9375
test_img5_L.png,520.3125,365.625,267.1875,174.375,78.75,461.25,340.3125,255.9375,191.25,126.5625,345.9375,219.375,185.625,233.4375,289.6875,410.3125,227.5,207.1875,247.8125,320.9375,487.5,349.375,353.4375,381.875,414.375,585,548.4375,670.3125,670.3125,650
test_img5_R.png,106.875,261.5625,360,450,548.4375,168.75,289.6875,371.25,435.9375,500.625,284.0625,407.8125,438.75,396.5625,337.5,410.3125,227.5,211.25,247.8125,320.9375,487.5,349.375,349.375,381.875,414.375,585,548.4375,670.3125,666.25,654.0625
test_img6_L.png,438.75,334.6875,244.6875,168.75,78.75,385.3125,298.125,233.4375,182.8125,129.375,300.9375,196.875,168.75,210.9375,255.9375,528.125,394.0625,377.8125,398.125,446.875,597.1875,499.6875,495.625,507.8125,528.125,686.5625,658.125,759.6875,759.6875,755.625
test_img6_R.png,59.0625,163.125,253.125,329.0625,419.0625,115.3125,202.5,264.375,317.8125,371.25,199.6875,298.125,326.25,286.875,239.0625,528.125,394.0625,377.8125,398.125,450.9375,593.125,499.6875,495.625,507.8125,528.125,686.5625,658.125,755.625,759.6875,751.5625
test_img7_L.png,520.3125,365.625,267.1875,174.375,78.75,461.25,340.3125,255.9375,191.25,126.5625,345.9375,219.375,185.625,233.4375,289.6875,410.3125,227.5,207.1875,247.8125,320.9375,487.5,349.375,353.4375,381.875,414.375,585,548.4375,670.3125,670.3125,650
test_img7_R.png,106.875,261.5625,360,450,548.4375,168.75,289.6875,371.25,435.9375,500.625,284.0625,407.8125,438.75,396.5625,337.5,410.3125,227.5,211.25,247.8125,320.9375,487.5,349.375,349.375,381.875,414.375,585,548.4375,670.3125,666.25,654.0625
test_img8_L.png,438.75,334.6875,244.6875,168.75,78.75,385.3125,298.125,233.4375,182.8125,129.375,300.9375,196.875,168.75,210.9375,255.9375,528.125,394.0625,377.8125,398.125,446.875,597.1875,499.6875,495.625,507.8125,528.125,686.5625,658.125,759.6875,759.6875,755.625
test_img8_R.png,59.0625,163.125,253.125,329.0625,419.0625,115.3125,202.5,264.375,317.8125,371.25,199.6875,298.125,326.25,286.875,239.0625,528.125,394.0625,377.8125,398.125,450.9375,593.125,499.6875,495.625,507.8125,528.125,686.5625,658.125,755.625,759.6875,751.5625
